price;title;de_price;por_price;a_vista;desconto_a_vista;num_parcelas;valor_parcela;format_title;manufacturer;espaco_armazenamento;modelo;cor
 de R$ 820,00   por R$ 719,00      em 10x de R$ 71,90 sem juros ;Smartphone LG K11+ Azul 32GB Tela 5,3Î_’_Îù Dual Chip Octa Core C’‘Î¢mera 13MP - LG K11+ - Magazine Luiza;820;719;False;; 10x ;71,9;"K11+ Azul 32GB Tela 5,3"" Dual Chip Octa Core C‰mera 13MP -K11+ ";LG;32GB;K11+;Azul
 de R$ 791,89   por R$ 719,90      em 10x de R$ 71,99 sem juros ;Smartphone LG K11 Alpha LMX410BTW Dourado - Celular LG - Magazine Luiza;791,89;719,9;False;; 10x ;71,99;K11 Alpha LMX410BTW Dourado - Celular;LG;;K11 Alpha;Dourado
 de R$ 879,89   por R$ 799,90      em 10x de R$ 79,99 sem juros ;Smartphone LG K11 Plus, Dourado, LMX410BCW , Tela de 5.3Î_’_Îù, 32GB, 13MP - LG K11+ - Magazine Luiza;879,89;799,9;False;; 10x ;79,99;"K11 Plus, Dourado, LMX410BCW , Tela de 5.3"", 32GB, 13MP -K11+ ";LG;32GB;K11 Plus;Dourado
 de R$ 855,80   por R$ 778,00      em 10x de R$ 77,80 sem juros ;Smartphone LG K11 Plus, Preto, LMX410BCW, Tela de 5Î_’_Îù, 32GB,13MP - LG K11+ - Magazine Luiza;855,8;778;False;; 10x ;77,8;"K11 Plus, Preto, LMX410BCW, Tela de 5"", 32GB,13MP -K11+ ";LG;32GB;K11 Plus;Preto
 de R$ 879,89   por R$ 799,90      em 10x de R$ 79,99 sem juros ;Smartphone LG K11 Plus, Azul, X410, Tela de 5.3Î_’_Îù, 32GB, 13MP - LG K11+ - Magazine Luiza;879,89;799,9;False;; 10x ;79,99;"K11 Plus, Azul, X410, Tela de 5.3"", 32GB, 13MP -K11+ ";LG;32GB;K11 Plus;Azul
   por R$ 689,90      em 10x de R$ 68,99 sem juros ;Smartphone LG K11 Plus, Dual Chip, Tela 5.3 Pol, 4G+WiFi, Android 7.1, 13MP, 32GB - Azul - Lg eletronics - LG K11+ - Magazine Luiza;   ;689,9;False;; 10x ;68,99;K11 Plus, Dual Chip, Tela 5.3 Pol, 4G+WiFi, Android 7.1, 13MP, 32GB - Azul - Lg eletronics -K11+ ;LG;32GB;K11 Plus;Azul
 de R$ 1399,00   por R$ 854,10 ’‘’_ vista (10% de desconto)      ou R$ 949,00 em 10x de R$ 94,90 sem juros ;Smartphone Samsung Galaxy J6+ 32GB Preto 4G - 3GB RAM Tela 6Î_’_Îù C’‘Î¢m. Dupla + C’‘Î¢m. Selfie 8MP - Galaxy J6 Plus - Magazine Luiza;1399;854,1;True;10% de desconto; 10x ;94,9;"Galaxy J6+ 32GB Preto 4G - 3GB RAM Tela 6"" C‰m. Dupla + C‰m. Selfie 8MP - Galaxy J6 Plus ";Samsung;32GB;Galaxy J6+;Preto
 de R$ 1299,00   por R$ 1099,00      em 10x de R$ 109,90 sem juros ;Smartphone Samsung Galaxy J6+ 32GB Dual Chip Tela 6 Dual C’‘Î¢mera 13MP+5MP Frontal 8MP Prata - Galaxy J6 Plus - Magazine Luiza;1299;1099;False;; 10x ;109,9;Galaxy J6+ 32GB Dual Chip Tela 6 Dual C‰mera 13MP+5MP Frontal 8MP Prata - Galaxy J6 Plus ;Samsung;32GB;Galaxy J6+;Prata
 de R$ 1099,00   por R$ 979,00      em 6x de R$ 163,17 sem juros ;Smartphone Samsung Galaxy J6 Camera 13MP, TV Digital HD, Dual Chip, Android, 8.0, Processador Octa Core e 2GB de RAM, 64GB, Violeta, Tela de 5,6 - Galaxy J6 - Magazine Luiza;1099;979;False;; 6x ;163,17;Galaxy J6 Camera 13MP, TV Digital HD, Dual Chip, Android, 8.0, Processador Octa Core e 2GB de RAM, 64GB, Violeta, Tela de 5,6 - Galaxy J6 ;Samsung;64GB;Galaxy J6;Violeta
 de R$ 1499,00   por R$ 969,00      em 10x de R$ 96,90 sem juros ;Smartphone Samsung Galaxy J6 64GB Dual Chip Android Octa-Core Tela 5.6Î_’_Îù 4G C’‘Î¢mera 13MP - Galaxy J6 - Magazine Luiza;1499;969;False;; 10x ;96,9;"Galaxy J6 64GB Dual Chip Android Octa-Core Tela 5.6"" 4G C‰mera 13MP - Galaxy J6 ";Samsung;64GB;Galaxy J6 ;Prata
 de R$ 1299,00   por R$ 1007,91 ’‘’_ vista (10% de desconto)      ou R$ 1119,90 em 10x de R$ 111,99 sem juros ;Smartphone Samsung Galaxy J6 32GB Prata - Dual Chip 4G C’‘Î¢m. 13MP + Selfie 8MP Flash - Galaxy J6 - Magazine Luiza;1299;1007,91;True;10% de desconto; 10x ;111,99;Galaxy J6 32GB Prata - Dual Chip 4G C‰m. 13MP + Selfie 8MP Flash - Galaxy J6 ;Samsung;32GB;Galaxy J6;Pata
 de R$ 999,00   por R$ 809,10 ’‘’_ vista (10% de desconto)      ou R$ 899,00 em 10x de R$ 89,90 sem juros ;Smartphone Motorola G7 Play 32GB Indigo 4G - 2GB RAM Tela 5,7Î_’_Îù C’‘Î¢m. 13MP + C’‘Î¢m. Selfie 8MP - Moto G7 Play - Magazine Luiza;999;809,1;True;10% de desconto; 10x ;89,9;"G7 Play 32GB Indigo 4G - 2GB RAM Tela 5,7"" C‰m. 13MP + C‰m. Selfie 8MP - Moto G7 Play ";Motorola;32GB;Moto G7 Play;Indigo
 de R$ 999,00   por R$ 809,10 ’‘’_ vista (10% de desconto)      ou R$ 899,00 em 10x de R$ 89,90 sem juros ;Smartphone Motorola G7 Play 32GB Ouro 4G - 2GB RAM Tela 5,7Î_’_Îù C’‘Î¢m. 13MP + C’‘Î¢m. Selfie 8MP - Moto G7 Play - Magazine Luiza;999;809,1;True;10% de desconto; 10x ;89,9;"G7 Play 32GB Ouro 4G - 2GB RAM Tela 5,7"" C‰m. 13MP + C‰m. Selfie 8MP - Moto G7 Play ";Motorola;32GB;Moto G7 Play;Ouro
 de R$ 1399,00   por R$ 1079,10 ’‘’_ vista (10% de desconto)      ou R$ 1199,00 em 10x de R$ 119,90 sem juros ;Smartphone Motorola G7 Power 32GB Azul Navy 4G - 3GB RAM Tela 6,2Î_’_Îù C’‘Î¢m. 12MP + C’‘Î¢m. Selfie 8MP - Moto G7 Power - Magazine Luiza;1399;1079,1;True;10% de desconto; 10x ;119,9;"G7 Power 32GB Azul Navy 4G - 3GB RAM Tela 6,2"" C‰m. 12MP + C‰m. Selfie 8MP - Moto G7 Power ";Motorola;32GB;Moto G7 Power;Azul Navy
 de R$ 1599,00   por R$ 1319,12 ’‘’_ vista (12% de desconto)      ou R$ 1499,00 em 10x de R$ 149,90 sem juros ;Smartphone Motorola G7 64GB ’‘’–nix 4G - 4GB RAM Tela 6,24Î_’_Îù C’‘Î¢m. Dupla + C’‘Î¢m. Selfie 8MP - Moto G7 - Magazine Luiza;1599;1319,12;True;12% de desconto; 10x ;149,9;"G7 64GB ïnix 4G - 4GB RAM Tela 6,24"" C‰m. Dupla + C‰m. Selfie 8MP - Moto G7 ";Motorola;64GB;Moto G7;•nix
